Time,Cd,Cl
4.85,3.17788068,-0.0832388117
4.86,3.17348373,-0.261626282
4.87,3.17267658,-0.432259837
4.88,3.17559131,-0.589272822
4.89,3.18188904,-0.726718709
4.9,3.19073305,-0.8400028
4.91,3.20093959,-0.924815084
4.92,3.21103013,-0.978961215
4.93,3.21974686,-1.00003715
4.94,3.22581505,-0.98786335
4.95,3.22841812,-0.942645693
4.96,3.22727455,-0.866572437
4.97,3.22244489,-0.76195795
4.98,3.21457301,-0.632160732
4.99,3.20485337,-0.481898945
5.0,3.19444246,-0.315668239
5.01,3.18475197,-0.13874554
5.02,3.17725896,0.0425206315
5.03,3.17283345,0.22228066
5.04,3.1721119,0.394109188
5.05,3.17531431,0.551844484
5.06,3.18186323,0.690016984
5.07,3.1910014,0.803720958
5.08,3.20148751,0.888517714
5.09,3.21191693,0.941737741
5.1,3.22069461,0.961740885
5.11,3.2269233,0.948157835
5.12,3.22956859,0.901579559
5.13,3.22836044,0.823829044
5.14,3.22351169,0.717727212
5.15,3.21566384,0.586898578
5.16,3.2059611,0.435556755
5.17,3.19567916,0.26868845
5.18,3.18617468,0.0917437923
5.19,3.17878817,-0.0892603263
5.2,3.17443425,-0.26846325
5.21,3.1737599,-0.439547514
5.22,3.17683,-0.59668131
5.23,3.18328186,-0.734088696
5.24,3.19223235,-0.846981485
5.25,3.20254334,-0.931254058
5.26,3.212681,-0.984480719
5.27,3.22137443,-1.00461541
5.28,3.227374,-0.991219743
5.29,3.22982388,-0.944847023
5.3,3.22849961,-0.867347533
5.31,3.22348622,-0.761366231
5.32,3.2154189,-0.630351825
5.33,3.20556023,-0.478839106
5.34,3.19506778,-0.31144754
5.35,3.18536793,-0.133642785
5.36,3.1778916,0.0483896721
5.37,3.17352552,0.228670454
5.38,3.17295412,0.400835727
5.39,3.17625578,0.558653012
5.4,3.18296547,0.69656003
5.41,3.19222236,0.809713747
5.42,3.20280828,0.893779615
5.43,3.21325949,0.946082183
5.44,3.222066,0.965174606
5.45,3.22811395,0.950437262
5.46,3.23063934,0.90261498
5.47,3.22928604,0.823687869
5.48,3.2242605,0.716366453
5.49,3.21624476,0.584413239
5.5,3.20643433,0.432105657
5.51,3.19608515,0.264274328
5.52,3.18657571,0.0866309405
5.53,3.17921351,-0.0950222563
5.54,3.17495652,-0.274573724
5.55,3.17440574,-0.445784062
5.56,3.17759561,-0.602810612
5.57,3.18418683,-0.739781582
5.58,3.19322637,-0.852260726
5.59,3.20357802,-0.935833995
5.6,3.2137477,-0.988188843
5.61,3.22239152,-1.00722169
5.62,3.22830354,-0.992684776
5.63,3.2306229,-0.945214333
5.64,3.2291508,-0.866583299
5.65,3.22401916,-0.759504922
5.66,3.21578368,-0.627554663
5.67,3.20584038,-0.475069502
5.68,3.19529513,-0.306883506
5.69,3.18561421,-0.128425413
5.7,3.17820994,0.053942961
5.71,3.17390417,0.234525724
5.72,3.17344093,0.406749511
5.73,3.17683972,0.564466555
5.74,3.18368284,0.7018592
5.75,3.19305015,0.814314461
5.76,3.20369244,0.897638588
5.77,3.21410861,0.94911176
5.78,3.22288701,0.967000973
5.79,3.22884586,0.951252006
5.8,3.2312333,0.902342463
5.81,3.22973209,0.822449156
5.82,3.22457017,0.714069201
5.83,3.21646637,0.581181088
5.84,3.20656715,0.427990609
5.85,3.1961945,0.259590205
5.86,3.1867027,0.0814091554
5.87,3.17939253,-0.10058337
5.88,3.17523574,-0.280270215
5.89,3.17479016,-0.451430496
5.9,3.17812927,-0.608079064
5.91,3.18478244,-0.744698157
5.92,3.19392302,-0.856444205
5.93,3.20433018,-0.939200901
5.94,3.21447411,-0.990654024
5.95,3.22313959,-1.00874369
5.96,3.22887196,-0.993111525
5.97,3.23106064,-0.944533432
5.98,3.22946568,-0.864963031
5.99,3.22420571,-0.756881446
6.0,3.21592997,-0.624043914
6.01,3.20585117,-0.470771035
6.02,3.19526522,-0.302028466
